geneid	dist
559	3826
564	5086
572	7033
575	7878
582	7410
590	6727
594	5870
605	5161
614	3568
619	1733
624	1140
992	20644
1024	6636
1430	34774
2011	202590
2929	1490
2932	251
3124	214669
3152	251
3855	98288
3911	46405
4202	98288
4208	75063
4275	98288
4374	98288
4378	1574052
4416	56338
4448	29476
4475	2444
4513	98288
4548	1081
4676	100005
4714	1081
4716	21437
4717	98288
4734	29476
4747	98288
4750	29476
4772	75063
4827	29476
4828	75063
4841	75063
4857	3038
4867	56338
4901	11160
4919	1485679
5051	41338
5059	54256
5085	757349
5098	579671
5143	378678
5151	257463
5161	19958
5198	190611
5216	68757
5242	565135
5249	374432
5264	212486
5266	326657
5291	83139
5302	974609
5305	73180
5357	399735
5362	69370
5369	229097
5401	5532
5467	444038
5470	48895
5471	190870
5505	639794
5506	496078
5522	32483
5546	10504
5562	182546
5599	1307609
5608	61731
5654	9373
5659	815104
5670	67493
5691	297962
5697	189782
5705	82686
5740	405580
5748	180856
5780	1168836
5785	406404
5798	54680
5820	399280
5837	394472
5854	369185
5877	209380
5879	167511
5898	275531
5912	129726
5913	325690
5914	15882
5916	1337129
5921	1520808
5930	145892
5939	106587
5951	565792
5993	23420
6004	132743
6012	168810
6050	479910
6054	1005823
6061	956293
6095	50513
6101	381473
6106	76194
6117	19309
6120	86094
6121	375421
6144	441862
6160	196313
6179	451507
6195	51294
6198	825115
6201	5532
6204	1291711
6206	167069
6228	67743
6230	218123
6267	1062205
6276	30845
6278	230837
6291	2034155
6304	937626
6308	189327
6316	46929
6329	168810
6338	557
6351	1212610
6360	744688
6390	627015
6391	898097
6401	4326
6416	912567
6429	1402919
6441	463562
6469	124337
6470	4326
6474	108972
6504	531708
6514	61330
6538	71234
6552	860713
6567	77311
6597	53889
6653	94408
6658	4188
6663	581460
6676	1491356
6689	224629
6709	204907
6722	461106
6723	1906870
6731	235813
6745	770652
6760	194237
6771	81953
6784	450217
6808	159578
6809	1349117
6816	342932
6820	292838
6821	161708
6834	198925
6847	1970312
6861	4326
6890	156047
6905	26685
6916	995772
6917	88109
6918	261928
6920	90247
6923	291068
6931	1460
6936	31350
6938	31350
6939	444872
6942	31350
6946	427366
6952	283724
6953	721773
6974	357520
6986	6705
6987	1073242
6988	25602
6990	588887
6997	2404708
7005	235410
7007	347448
7013	66001
7014	20881
7045	205107
7052	310038
7058	940792
7066	69370
7084	1108097
7094	31350
7098	5914
7108	1177357
7119	23045
7144	88735
7146	31350
7148	31350
7158	1950806
7166	2201450
7176	15997
7179	246961
7183	210491
7190	2438472
7222	64517
7237	49143
7258	39386
7264	2155375
7299	658841
7301	30282
7306	217744
7312	1970312
7327	123134
7333	404474
7346	275355
7353	368763
7385	2639
7411	216791
7425	151827
7426	57009
7428	328057
7430	98148
7435	31350
7443	1986019
7455	560723
7462	29512
7469	404474
7496	367575
7498	63587
7499	208381
7503	763142
7511	161602
7525	214489
7536	103862
7540	1176809
7546	114007
7562	1970312
7580	497997
7583	809534
7590	12267
7595	109623
7606	404474
7611	1177860
7637	1125488
7648	194769
7649	20881
7659	124441
7688	129280
7692	195301
7701	1611464
7709	728943
7714	102120
7719	722559
7733	2427625
7734	31350
7738	88172
7739	2181700
7741	1079997
7760	1016813
7761	352526
7773	349632
7776	36124
7777	157274
7791	2832164
7808	4326
7816	1804721
7829	313962
7832	268881
7854	17075
7863	404474
7882	38943
7887	177862
7900	14999
7918	148899
7919	2717
7923	271862
7926	1746560
7933	335648
7937	1722974
7938	306797
7987	33421
