geneid	dist
992	6545840
1024	18906129
1430	15826549
2011	7669942
3124	1433012
3855	7814290
3911	4204199
4202	7814290
4208	13317510
4275	7814290
4374	7814290
4378	13137117
4416	4588457
4448	498601
4475	972634
4513	7814290
4544	5062081
4546	5062081
4676	14465731
4716	7859579
4717	7814290
4734	498601
4747	7814290
4750	498601
4772	13317510
4827	498601
4828	13317510
4841	13317510
4857	8192776
4867	4588457
4901	3201719
4919	6996474
5051	7091977
5059	1978777
5085	13983002
5098	8751341
5143	11124766
5151	14119434
5161	13404133
5198	4112413
5216	2572333
5249	790629
5264	409676
5266	13166774
5291	12791790
5302	10722281
5305	10350888
5357	5781881
5362	14266482
5401	19713778
5467	4071033
5470	10932149
5471	1590211
5505	6104654
5506	8932314
5522	10971997
5546	9399783
5562	14160871
5599	6716725
5608	11022889
5654	1372348
5670	9082817
5691	4629679
5697	14086347
5705	5776566
5740	9539448
5748	14081738
5780	495355
5785	9786188
5798	9405195
5820	16917540
5837	4924017
5854	3221903
5877	17031235
5879	253722
5898	5100996
5912	15681472
5913	5858204
5914	10920403
5916	10083286
5921	8893656
5930	10783894
5939	14800
5951	4757015
5993	6600268
6004	8994061
6012	4930695
6050	1536359
6054	3166834
6061	7220306
6095	9524415
6101	7629520
6106	6922960
6117	6685136
6120	14382179
6121	16909674
6144	12941120
6160	8128530
6179	6954220
6195	1458483
6198	652523
6201	19713778
6204	15303312
6206	10955301
6228	6926752
6230	18142772
6267	10293462
6276	7479152
6278	122160
6291	12176727
6304	15021427
6308	8122868
6316	10278964
6329	4930695
6338	3075932
6351	6016050
6360	10213047
6391	9353251
6401	7618836
6416	9340458
6429	18287139
6441	8029628
6469	10880422
6470	7618836
6474	1731268
6504	9739850
6514	3804000
6538	18223338
6552	2927625
6567	9441996
6597	12083487
6653	9086848
6658	2204494
6663	13515904
6667	11319898
6676	9899667
6689	3139026
6709	6034514
6722	3003214
6723	12537019
6731	11712602
6745	10448852
6760	115669
6771	9446324
6784	3221167
6808	14222902
6809	461285
6816	18417056
6820	15898773
6821	5220907
6834	1566809
6839	2872159
6847	2731848
6861	7618836
6890	9044036
6916	7232999
6918	7751515
6920	11249423
6923	6876022
6931	2878884
6939	14126600
6946	12945641
6952	14470630
6953	14413162
6974	8376763
6986	5887782
6987	5915777
6988	1170434
6990	14460668
6997	16418691
7005	8500931
7007	2609247
7013	11217887
7014	9632176
7045	3765439
7052	3135869
7058	6198337
7066	14266482
7084	20230115
7098	11420913
7108	14182585
7119	14221217
7144	33214
7158	11635717
7166	13149829
7176	2902692
7179	1613563
7183	7762970
7190	9707509
7222	10492017
7237	4977033
7258	18952490
7264	9045982
7299	7080615
7301	1244882
7306	17731518
7312	2731848
7327	2034831
7333	3284462
7338	14118500
7346	13537817
7353	6836143
7385	16284352
7425	84475
7426	7398708
7428	719850
7430	7023162
7443	5355918
7455	5354008
7462	13981157
7469	3284462
7496	525450
7498	7169660
7499	5499719
7503	10187981
7511	2483186
7525	14094475
7536	2858053
7540	5833696
7546	14220476
7562	2731848
7580	6230745
7583	318472
7590	9250057
7606	3284462
7611	11682788
7637	5773304
7648	15801788
7649	9632176
7659	2772028
7688	8903670
7692	6126277
7701	729826
7714	15378241
7719	346954
7733	4628788
7738	1526906
7739	9014399
7741	8755917
7760	4171216
7761	10846672
7773	13115557
7776	2347453
7777	14064385
7791	73901
7808	7618836
7816	15554329
7829	8395251
7832	9133149
7834	6693921
7854	4766911
7863	3284462
7882	4254287
7887	5485739
7900	2566972
7918	7348976
7919	2016104
7923	1212130
7926	15551435
7933	3272099
7937	14843290
7938	3131507
7987	2251006
7993	14659137
8006	9072674
8007	16284352
8013	7189499
8018	10221074
8019	8035772
8031	9412766
8042	10334584
8044	2631149
8061	12641199
8071	5890684
8083	2332656
8096	5750168
8097	4232364
8101	3274771
8117	14150431
8120	11277855
8148	13446497
8153	7206818
8160	6726462
8163	14688868
8170	4556064
8172	25711
8189	3487609
8203	6732162
8207	4696115
8219	10602169
8236	10931910
8244	20142736
8245	7330822
8247	16317419
8255	2923447
8286	11017469
8297	6936043
8312	10397970
8321	8919270
8336	10932149
8378	1667511
8394	9022021
8397	10191709
8411	2518267
8413	8007822
8430	3977649
8431	18032796
8438	7023162
8447	532071
8450	12800284
8455	1278618
8459	12589433
8462	16900170
8463	1557137
8465	2300013
8488	607922
8489	3299683
8500	3311684
8505	3811617
8510	13908601
8526	10079325
8553	1328865
8561	5969781
8563	14293171
8571	404710
8579	9150821
8582	10291313
8589	3775302
8600	10505244
8603	3284462
8623	1370114
8635	6266841
8636	16697162
8641	2430842
8656	7692399
8657	4030803
8662	10511942
8663	1406498
8665	1234432
8674	108105
8675	12068717
8677	3820353
8691	8878263
8698	8502354
8702	607922
