geneid	dist
559	3681
564	4930
572	6862
575	7692
579	7521
582	7360
590	6680
594	5828
602	5417
605	5127
614	3550
619	1738
624	1140
633	1189522
971	833342
992	2204510
1024	2176099
1032	4572244
1152	76984713
1238	4572244
1274	410247
1325	143
1326	16613374
1327	16644798
1329	16717745
1430	1141480
2008	1805375
2010	1805100
2011	1791966
2014	1804158
2735	7841121
2932	300627
3152	33776159
3154	34587315
3159	33011258
3361	7841121
3901	7857621
4012	68917866
4378	64686210
4500	68917866
4525	65933220
4527	64732767
4533	5065537
4543	46705948
4544	46580140
4546	46580140
4610	5065537
4742	3197910
4744	3169165
4768	68917866
5009	7857621
5051	5969991
5059	6135628
5085	5534483
5098	6514124
5143	2704784
5151	9254736
5161	3197940
5197	2525427
5198	10320014
5216	11935580
5234	9460405
5242	1235717
5249	2741853
5264	12056238
5266	18186678
5280	3299026
5291	12289828
5302	9608025
5331	18035739
5345	9547905
5357	26863119
5362	33428
5369	12795547
5397	12380416
5401	2625401
5467	26824646
5468	12399708
5470	8650684
5471	31690346
5493	62698
5505	3349303
5506	2072921
5522	14493861
5546	17827018
5557	9588738
5562	9928940
5570	16277646
5597	17749168
5599	31282640
5608	14772452
5631	4972198
5659	2785255
5670	22616927
5691	24925425
5697	8374941
5705	27126672
5706	11539334
5711	19557344
5730	16000948
5740	14471678
5748	8305643
5772	27715851
5777	16067934
5780	16779520
5785	19372125
5798	17809398
5820	14876078
5837	2652336
5841	16629548
5843	17632439
5854	13231141
5877	12688256
5879	6234418
5895	16526214
5897	16220559
5898	25245898
5901	16202764
5906	16198554
5912	26228411
5913	14510222
5914	14177210
5916	13303186
5921	31092946
5930	12493921
5939	5172971
5951	31382306
5977	18035739
5993	20980940
6004	21387829
6012	25722776
6023	33056923
6050	31415433
6054	1765
6055	16371347
6061	10369621
6095	15123134
6101	24147845
6105	25984807
6106	42071558
6117	43515122
6120	20828051
6121	14921899
6138	27470564
6144	14732070
6160	34725146
6179	41999493
6195	909965
6197	218
6198	9146360
6201	2625401
6204	17777716
6206	14368573
6215	25707661
6228	42055492
6230	31983436
6253	4835153
6264	680814
6266	45124417
6267	12631048
6276	33660635
6278	9068375
6290	16488933
6291	4171649
6295	16391243
6308	34615986
6316	12973442
6338	2742503
6351	17216066
6360	22777159
6390	37111235
6401	8101678
6416	805282
6429	173081
6441	2075146
6469	26405492
6470	8101678
6474	2564282
6514	907854
6530	39066942
6538	29525495
6552	39450960
6567	17298706
6597	39018931
6635	39066942
6639	6222532
6653	3668531
6658	34243922
6659	39066942
6663	47945877
6665	16229462
6667	13381376
6676	4000566
6689	43369451
6709	3276
6722	41724228
6723	12460113
6731	1331479
6745	27562781
6760	5351793
6768	16227252
6771	16572681
6784	19755662
6795	12399708
6808	10128395
6809	2867872
6813	14076233
6816	4112536
6820	978460
6821	2752957
6826	192097
6834	890264
6839	85297304
6847	2393488
6850	6247997
6855	1636651
6861	8748099
6863	14868049
6890	8872893
6891	6164704
6898	5778101
6902	6222532
6905	8012580
6913	6236649
6916	10435533
6917	10685345
6918	7154679
6920	5842142
6923	15098343
6926	31608
6931	21792242
6936	6029400
6939	3494058
6942	6161141
6946	15534045
6949	5846432
6952	14072452
6953	14442645
6974	19885256
6986	6726049
6987	36089249
6988	10080606
6990	14792451
6997	34428620
7005	1964541
7007	36965053
7013	14012480
7014	2313927
7045	817980
7057	140244
7058	13089600
7066	33428
7084	4045890
7094	6092293
7098	5872926
7108	35379292
7111	3674
7114	20947772
7119	12016618
7144	5418775
7151	5820288
7158	1243
7162	7125924
7166	9230420
7176	21672146
7179	31056640
7183	55800268
7190	34929932
7199	39066942
7222	16359510
7237	13377322
7258	22734393
7264	17684869
7301	10334240
7306	8248176
7312	2393488
7327	16622725
7333	23778906
7338	13410203
7346	17861645
7353	42183434
7385	15362734
7387	13793285
7411	15000087
7425	5802123
7426	13464005
7428	25723569
7430	13345657
7435	6047001
7443	2314652
7455	12331915
7461	13703289
7462	14497902
7469	24182793
7496	16103542
7497	30094875
7498	39654315
7499	18668100
7503	36787066
7511	14129842
7525	8737842
7536	39117389
7540	5867198
7562	7116554
7580	18984279
7583	24987382
7590	7933266
7595	15177396
7611	21665428
7621	30473768
7637	5511546
7648	35123131
7659	16929833
7675	30020417
7688	34878732
7692	6976
7701	25782099
7709	25283513
7714	10288792
7719	25316738
7733	9127213
7734	6063297
7738	11536140
7739	17759401
7741	12907771
7760	1764039
7761	22878104
7773	18442602
7776	5956575
7777	8022885
7791	9324483
7808	24298230
7816	410023
7829	19617680
7832	18723
7834	30126042
7854	9524544
7863	24130730
7882	15621403
7883	17808803
7887	18687389
