geneid	dist
559	4588
564	5839
572	7764
575	8278
579	7523
582	263
590	6682
594	5829
602	5413
605	5123
614	3544
619	1740
624	1139
631	34699
992	33644
1024	14982
1430	353749
2929	557
3124	101219
4104	256126
4208	563072
4378	40437
4475	22792
4716	95402
4772	563072
4828	563072
4841	563072
4881	331450
5051	58578
5059	1572034
5085	145355
5098	1446377
5143	48969
5151	46539
5161	867181
5197	207547
5198	589088
5216	1005647
5234	167181
5242	1620557
5249	953781
5264	14376
5266	437246
5280	761093
5291	680695
5302	409643
5331	281474
5345	4955
5362	42129
5369	274626
5397	14815
5401	284081
5467	113977
5468	755
5470	277627
5471	1045732
5505	926782
5506	1350176
5522	94313
5546	744534
5557	4685
5562	225311
5597	624828
5599	1173222
5608	363114
5631	61190
5654	8990
5659	46885
5670	292438
5697	469965
5705	121314
5706	487270
5730	77407
5740	899960
5748	426657
5780	97117
5785	316834
5798	728512
5820	426317
5837	299259
5841	677
5854	868504
5874	145432
5877	313971
5879	235605
5895	143927
5898	492973
5912	614045
5913	125262
5914	4604
5916	927577
5921	1010695
5930	23206
5939	52534
5951	1223776
5977	281474
5993	53768
6004	2777
6012	911621
6023	17864
6050	1233276
6054	336809
6055	84034
6061	89117
6095	216734
6101	293492
6105	869041
6106	356069
6117	3870
6120	29656
6121	463429
6144	1488525
6160	274970
6179	285407
6195	26241
6197	215
6201	284081
6204	1964
6206	19291
6215	893679
6228	341470
6230	579864
6266	334772
6267	566237
6276	2145731
6278	130731
6291	59778
6295	145432
6304	814399
6308	130304
6316	209406
6329	911621
6351	215920
6360	28817
6390	125475
6401	39824
6416	33625
6441	357100
6469	556296
6470	39824
6504	182663
6514	839115
6538	181779
6552	423395
6567	150296
6597	165857
6639	22400
6658	947
6663	12312
6667	998934
6676	59297
6689	491522
6709	670439
6722	14839
6723	59628
6731	1688631
6745	489003
6760	17866
6764	479
6771	61019
6784	621343
6795	755
6808	436437
6809	13608
6810	34758
6813	61620
6816	22442
6820	335058
6821	358554
6826	974864
6834	416854
6839	13318
6850	2014
6855	61620
