geneid	dist
992	856926
1024	1953027
1430	533733
2011	377713
2932	45589
3124	203750
3152	45589
3855	209964
3911	420524
4202	209964
4208	1037092
4275	209964
4374	209964
4378	1370773
4416	83526
4448	118128
4475	286361
4513	209964
4676	504853
4716	131173
4717	209964
4734	118128
4747	209964
4750	118128
4772	1037092
4827	118128
4828	1037092
4841	1037092
4857	78387
4867	83526
4901	65889
4919	634759
5051	2697562
5059	42624
5085	1702442
5143	106236
5151	2543029
5161	476481
5198	284855
5216	1719746
5249	536910
5264	159273
5266	160389
5302	122489
5305	913
5357	785472
5362	2695075
5401	2088343
5467	11294
5470	880183
5471	957626
5505	334942
5506	405344
5522	280537
5546	937359
5562	2616828
5599	391813
5608	272223
5654	92533
5670	5537
5691	38411
5697	2509278
5705	391000
5740	797154
5748	851779
5780	463729
5785	51001
5798	934799
5820	29522
5837	19491
5854	17974
5877	240678
5879	2242869
5898	231348
5912	261725
5913	3427762
5914	333407
5916	205952
5921	1527107
5930	614204
5939	2287179
5951	17194
5993	1351435
6004	1428290
6012	177953
6054	78412
6061	238290
6095	829104
6101	169442
6106	2050509
6117	1654074
6120	103204
6121	37908
6144	294503
6160	56412
6179	2030937
6195	159070
6198	2131933
6201	2088343
6206	319655
6228	2043368
6230	987865
6267	521504
6276	671961
6278	143842
6291	321818
6304	206965
6308	62527
6316	109420
6329	177953
6338	10002
6351	249594
6360	103287
6391	775134
6401	109897
6416	765811
6429	261870
6441	1457735
6469	301804
6470	109897
6474	725437
6504	228658
6514	550778
6538	1068020
6552	1486418
6567	479706
6597	47242
6653	269147
6658	925097
6663	150498
6667	112613
6676	286946
6689	1358120
6709	82702
6722	1395377
6723	2338952
6731	222536
6745	3527763
6760	2314056
6771	886679
6784	42111
6808	2658980
6809	2018243
6816	15804
6820	5017
6821	21354
6834	69587
6847	106248
6861	109897
6863	529965
6890	832172
6916	253925
6918	163690
6920	3602
6923	2090081
6931	913403
6939	793020
6946	299972
6952	9887
6953	4106516
6974	1252865
6986	2584586
6987	884081
6988	697539
6997	1773378
7005	621024
7007	240546
7013	8933
7014	66940
7045	444061
7052	1124020
7058	69817
7066	2695075
7084	601118
7098	4930
7108	2736751
7119	142873
7144	2295556
7158	172240
7166	556723
7176	936470
7179	601355
7183	749707
7190	353788
7222	294912
7237	1002522
7258	2383718
7264	64743
7299	55845
7301	751727
7306	894982
7312	106248
7327	698929
7333	791506
7338	246919
7346	74330
7353	1811179
7385	2981
7411	1390704
7425	2339946
7426	5053
7428	44755
7430	249839
7443	236447
7455	217627
7462	365876
7469	791506
7496	347908
7498	1085150
7499	438801
7503	117034
7511	176967
7525	2519175
7536	1533300
7540	2630482
7546	4381736
7562	106248
7580	605817
7583	40621
7590	15159
7595	2739484
7606	791506
7611	984334
7637	2674548
7648	2883093
7649	66940
7659	145505
7688	908253
7692	146297
7701	34109
7709	57000
7714	525231
7719	68793
7733	379805
7738	360710
7739	76282
7741	2406371
7760	935721
7761	22075
7773	181534
7776	69318
7777	2486331
7791	2684
7808	109897
7816	748682
7829	1277968
7832	45096
7834	616820
7854	311089
7863	791506
7882	157041
7887	430581
7900	50949
7918	18706
7919	752115
7923	41347
7926	760216
7933	1210997
7937	161774
7938	1231024
7987	989694
7993	3855856
8006	5509
8007	2981
8013	1593555
8018	193930
8019	989013
8031	435039
8042	1474615
8044	21002
8061	1787199
8071	239204
8082	1920037
8083	78254
8096	268358
8097	971704
8101	35832
8117	233243
8120	1101608
8153	8293
8160	373491
8163	3847313
8170	269696
8172	352882
8189	21224
8203	1126189
8207	340286
8219	3642795
8236	2490786
8244	1656007
8245	30766
8247	112684
8255	404866
8286	771123
8297	2039159
8312	577647
8321	918443
8336	880183
8378	35510
8394	1379796
8397	163326
8413	90925
8415	484121
8430	576883
8438	249839
8447	468780
8450	84782
8458	461387
8459	1940870
8462	69671
8463	41782
8481	4001
8488	284473
8500	46601
8505	691765
8510	504078
8526	282958
8553	389480
8561	318958
8563	352071
8571	279286
8579	1391694
8582	566208
8600	192712
8603	791506
8623	2537
8635	1084271
8636	408664
8641	765930
8656	62062
8657	33270
8662	919233
8665	19204
8674	169744
8675	1505054
8677	685389
8691	762297
8698	1380708
8702	284473
8709	301792
8710	419946
8723	264087
8730	517296
8742	82901
8745	750795
8746	1294527
8751	373115
8759	395482
8761	1264340
8768	2824528
8771	2530
8782	286361
8789	280337
8792	126883
8795	195875
8796	618645
8805	440767
8827	517296
8832	116857
8833	753126
8850	799869
8862	517296
8885	525399
8898	515118
8919	7807
8921	1419761
8928	143473
8950	503257
8964	97058
8965	331129
8974	1902343
8986	487580
8999	460423
9007	737669
9012	164343
9019	3997918
9020	136138
9026	571578
9027	765394
9040	2433918
9043	130210
9045	76678
9047	2701279
9052	107293
9077	2432281
9079	176886
9094	104041
9095	3058658
9106	2406371
9108	532996
9119	742698
9155	213300
9173	8983
9178	104491
9209	1316277
9214	94640
9226	3172179
9228	893338
9232	123006
9238	636407
9248	240169
9260	250553
9265	363703
9267	148813
9269	33088
9270	352798
9287	103581
9288	1534357
9291	334557
9299	106248
9317	65668
9327	1553241
9338	711485
9341	274218
9345	2755111
9348	321716
9367	102240
9383	802069
9410	521988
9449	753689
9466	433436
9474	279286
9485	207411
9495	732886
9504	150164
9519	500746
9534	60461
9539	114718
9541	157025
9554	2981
9577	49186
9578	469484
9583	52848
9587	2656459
9602	692319
9603	966384
9617	7269
9621	500626
9625	283616
9636	223181
9638	512205
9648	1661068
9652	265081
9655	13500
9657	699743
9661	491463
9668	259968
9670	718844
9678	491463
9683	247756
9692	496592
9716	438296
9718	55648
9722	347919
9729	2244340
9732	393257
9735	669526
9741	552869
9744	461389
9748	58280
9752	839316
9758	666856
9759	49319
9770	145922
9772	829036
9779	1188481
9790	5604
9793	952872
9794	13713
9798	7807
9806	50327
9808	3548324
9810	325300
9811	767692
9813	1313192
9827	7807
9851	129946
9852	58712
9853	1298050
9864	244392
9870	255203
9878	3839
9880	3657
9902	50089
9922	1120266
9930	1123058
9944	153986
9950	393910
9951	234596
9954	508743
9960	269151
9961	18839
9986	838574
9990	956749
10007	686432
10008	489721
10018	1165543
10026	880812
10033	153986
10037	173598
10054	2650060
10061	122127
10070	945221
10071	23936
10075	252925
10076	40869
10079	51141
10086	1654074
10088	2976353
10091	3181721
10107	35801
10112	445123
10121	433277
10122	21354
10123	353327
10127	1764661
10128	41782
10134	891315
10145	19491
10167	268174
10171	2736751
10172	15304
10187	2745228
10195	173217
10203	896348
10205	1248742
10206	3047088
10209	466517
10212	2603465
10213	1076995
10228	467216
10233	340094
10236	1426111
10245	288874
10254	20274
10262	277684
10264	11648
10269	1581718
10276	1053237
10282	157210
10286	898201
10287	51709
10293	130651
10296	257676
10298	55127
10301	1533957
10307	53653
10317	2159234
10323	214297
10324	811027
10326	26712
10331	98046
10334	795270
10335	2344034
10336	59068
10341	118975
10347	19879
10350	173559
10356	136845
10357	1000547
10363	14658
10374	844708
10376	94640
10393	518230
10405	108285
10406	2482810
10410	650113
10436	440945
10444	122649
10447	1397692
10472	3299555
10493	325412
10540	173478
10607	2778
10608	2882383
10610	2882546
10633	794
10664	270665
10672	242223
10685	82702
10694	59583
10702	467318
10704	7807
10713	968001
10716	48237
10727	92508
10739	1021796
10743	76724
10765	256170
10766	284413
10772	353585
10774	3132007
10814	35661
10819	671223
10833	638014
10838	466839
10844	726723
10845	382623
10872	274528
10875	26712
10879	26712
10882	1510924
10891	9146
10900	2357748
10905	907833
10907	204493
10908	1093956
10912	1640538
10914	757929
10918	752898
10925	2269221
10928	4713
10936	81331
10938	449504
10967	861402
10969	318413
10980	1295416
10983	1115891
10997	285601
10998	2697562
11004	2774
11009	249403
11011	508318
11021	50999
11031	106827
11036	838939
11040	268673
11053	69908
11056	4008
11060	120753
11061	205203
11067	520077
11075	195451
11077	257548
11089	70262
11093	550688
11099	251280
11101	114757
11102	1349010
11106	17009
11109	235681
11114	1356259
11120	226894
11123	81144
11124	453139
11125	3162571
11129	329653
11131	126883
11140	1018246
11141	37384
11163	1827150
11167	269768
11169	1803260
11172	485931
11173	1465487
11177	116823
11188	40340
11193	2717
11195	11802
11197	1051257
11209	471328
11214	49094
11216	344981
11225	127538
11226	432509
11233	544091
11236	2319078
11237	1471531
11243	114659
11249	167996
11250	889679
11257	3526081
11263	263385
11289	224746
11291	258449
11297	790556
11299	2299152
11300	331725
11311	20436
11320	3534
11322	1635572
11326	27585
11329	5514189
11331	152893
11335	3386115
11343	279779
11344	750052
11349	128565
11351	7807
11363	4074
11366	314193
11371	76070
11378	403950
11379	1674636
11386	273196
11396	1250156
11399	372206
11405	26712
11410	240453
11414	700390
11415	1218670
11417	468563
11419	153630
11425	416855
11430	107345
11433	479748
11436	409800
11445	3020608
11458	107849
11459	4782763
11463	1653021
11464	888800
11465	1604456
11481	80632
11482	23338
11484	90562
11486	1403125
11487	4711551
11490	1136322
11491	1369945
11493	84429
11497	30557
11498	338372
11499	61113
11500	73200
11504	502984
11505	991524
11507	1235227
11511	4037897
11513	158559
11516	1641139
11518	1274752
11524	153205
11528	1633051
11541	119803
11542	49003
11543	1376141
11546	2055256
11547	5656
11548	187936
11561	813
11564	258475
11574	450011
11575	2324131
11579	172567
11585	247737
11590	1252515
11591	326766
11592	26712
11604	1616279
11614	590569
11617	1306885
11619	1359434
11620	280757
11625	828
11627	1434123
11628	113413
11636	351691
11638	104551
11643	2813100
11646	682020
11647	886407
11650	682020
11652	68921
11653	791488
11654	364117
11657	682020
11659	245001
11670	316368
11671	11468
11679	318978
11680	6604
11685	108692
11691	496550
11694	590370
11695	963888
11696	15832
11704	9806
11713	764903
11716	1328109
11724	26712
11726	857263
11727	64755
11728	781867
11734	159602
11739	2786764
11741	2319078
11743	1012544
11744	27729
11765	2556
11775	199574
11780	108662
11783	266611
