geneid	dist
619	1064
992	444495
1024	124732
1430	14014
3124	37403
3855	2794
3911	99285
3990	38309
4104	316356
4202	2794
4275	2794
4374	2794
4378	1344825
4416	5047
4448	239271
4475	683
4513	2794
4676	727216
4716	121922
4717	2794
4734	239271
4747	2794
4750	239271
4827	239271
4857	3333
4867	5047
4901	9752
5051	1969423
5085	298346
5098	22696
5143	214404
5151	1845982
5161	29988
5198	251861
5216	1668252
5242	68294
5249	214177
5264	4666
5266	543683
5291	67924
5302	1041
5305	53226
5362	1964928
5401	665726
5467	87272
5470	746574
5471	822957
5505	158977
5506	1931
5522	35468
5546	1560853
5562	1895584
5599	446069
5608	38600
5654	2045227
5670	1039712
5691	2044
5697	1814971
5705	854169
5748	1426474
5780	4206
5785	377537
5798	1566597
5820	888861
5837	170821
5877	83957
5879	38268
5898	286106
5912	869654
5913	2013475
5914	6731
5921	791687
5930	919643
5939	144332
5951	9473
5993	524175
6004	917176
6012	339393
6050	790285
6054	237303
6061	134557
6095	75146
6101	7752
6106	704086
6117	2277390
6120	565876
6121	883094
6144	346342
6160	335104
6179	698256
6195	281296
6198	86926
6201	665726
6204	44962
6206	31529
6228	701177
6230	476384
6267	191756
6276	63218
6278	178243
6291	621943
6308	343432
6316	106045
6329	339393
6338	14065
6351	90370
6360	380560
6401	113924
6416	29446
6429	269480
6441	69790
6469	888338
6470	113924
6474	536324
6504	258233
6514	249995
6538	408208
6552	1369075
6567	186869
6597	584945
6653	349612
6658	730635
6676	996
6689	735708
6709	1256
6722	672404
6723	413578
6731	345174
6745	113939
6760	44695
6771	1616975
6784	15593
6808	1926941
6809	16218
6816	17040
6821	2715
6834	47627
6847	324598
6861	113924
6890	700948
6916	675
6917	975693
6918	67547
6923	1662
6931	464003
6939	313763
6946	347920
6952	660516
6953	852115
6974	1389704
6986	1148377
6987	1490060
6988	735935
6997	3071115
7005	1375
7007	365402
7013	1106
7045	50586
7052	439624
7058	7155
7066	1964928
7084	153589
7098	468805
7108	861944
7119	776214
7144	129270
7158	2189
7176	484929
7179	410745
7183	9727
7222	49960
7237	7132
7258	810933
7264	1223450
7299	2544
7301	1642
7306	698165
7312	324598
7327	205965
7333	360753
7338	668491
7346	98104
7353	2456753
7385	1399
7411	253808
7425	97339
7426	5578
7428	234834
7430	334422
7443	281351
7455	63261
7462	561297
7469	360753
7498	1149879
7503	401484
7511	155450
7525	1823300
7536	1440832
7540	1197061
7546	905489
7562	324598
7580	648061
7590	3129
7606	360753
7611	518119
7637	1243858
7659	1704
7688	841704
7692	236256
7701	241480
7709	7528
7714	686047
7719	13032
7733	89443
7738	145191
7739	1190367
7741	1156701
7760	15362
7761	17327
7773	514135
7776	2591
7777	1789674
7791	2165
7808	113924
7816	313153
7829	1405829
7832	641716
7834	12250
7854	156436
7863	360753
7882	44452
7900	1748
7918	85106
7919	94972
7923	175881
7926	323363
7933	978556
7937	564529
7938	735112
7987	695539
7993	1040304
8006	1023503
8007	1399
8018	950394
8019	1013009
8031	212547
8042	1685693
8044	6728
8061	1128
8071	129324
8083	3169
8096	730164
8097	84379
8101	3042
8117	699083
8120	379401
8148	1776930
8153	82754
8160	439784
8163	1056952
8170	460210
8172	2732
8189	33328
8203	431259
8207	151168
8219	206749
8236	399624
8244	599753
8245	95828
8247	4444
8255	119853
8286	37495
8297	695395
8312	1623
8321	859396
8336	746574
8378	94274
8394	956799
8397	919087
8413	77034
8415	178127
8430	287037
8438	334422
8447	1469
8450	75443
8455	4267
8458	300453
8462	872447
8463	464066
8465	265480
8488	3778
8489	175301
8500	65417
8505	441539
8510	44537
8526	397410
8553	223824
8561	181803
8563	338990
8571	871945
8582	312123
8600	141037
8603	360753
8623	915814
8635	1848893
8636	3046
8641	2834
8656	1141
8657	106869
8665	1110
8674	14191
8675	52156
8677	435463
8691	219649
8698	1510247
8702	41601
8709	159765
8710	83917
8723	86581
8730	37609
8742	13375
8746	525357
8751	5802
8759	2331
8761	335156
8768	1409020
8771	72293
8782	683
8789	648806
8792	535870
8795	764609
8796	333505
8805	667362
8827	37609
8832	304828
8833	51524
8850	1037
8862	37609
8885	63263
8898	57190
8919	2469
8921	1553842
8928	113544
8964	45751
8965	137387
8974	89599
8986	3236
8999	117821
9007	55649
9012	1436
9019	1169830
9020	611247
9026	76526
9027	153271
9040	422525
9043	45833
9045	9598
9047	1477769
9052	628446
9077	94955
9079	943395
9094	76799
9095	109551
9106	1156701
9108	234044
9119	751247
9155	816
9173	19452
9209	669358
9214	15513
9226	1042490
9228	419347
9232	3173
9238	226811
9248	229778
9260	407818
9265	433494
9267	90342
9269	265640
9270	988174
9288	2090
9291	181226
9299	324598
9317	129515
9327	2079
9338	469598
9341	67403
9345	95712
9348	604324
9367	511154
9383	2744562
9410	387240
9458	1217556
9466	954388
9474	871945
9485	122241
9495	617774
9504	896
9519	28854
9534	346595
9539	2849
9541	293522
9554	1399
9577	1264
9578	3404
9583	962
9602	1707
9603	337687
9617	149623
9621	33548
9625	1028262
9636	199924
9638	45311
9648	3103560
9652	912325
9655	1208
9657	451775
9661	27977
9668	32338
9670	119635
9678	27977
9683	262099
9692	2391
9716	171243
9718	53237
9722	1559836
9729	1768765
9732	708372
9735	87956
9741	83278
9744	797064
9752	710239
9758	355273
9759	68851
9770	19703
9772	152499
9774	452548
9779	535566
9790	240667
9793	39320
9794	58551
9798	2469
9808	128979
9810	525336
9811	784870
9813	251920
9827	2469
9851	45188
9853	1716323
9864	729116
9870	650220
9878	1799795
9880	400794
9902	205909
9922	236049
9930	903269
9944	5372
9950	177754
9951	338139
9954	510682
9960	358473
9961	42797
9986	282993
9990	61140
10007	175359
10008	14183
10018	104054
10021	1407
10026	3922
10033	5372
10037	112909
10054	2196843
10061	363502
10070	6770
10071	151873
10075	904440
10076	45127
10079	57511
10086	2277390
10088	1975317
10091	1009428
10107	32730
10112	508616
10121	23526
10122	2715
10123	40642
10127	205161
10128	464066
10134	1314084
10145	170821
10167	138049
10171	861944
10172	1583
10187	2145021
10195	38309
10203	1475140
10205	1381034
10206	1662784
10209	1576
10212	2236943
10213	1335393
10233	30170
10236	3610
10245	1487589
10254	438787
10262	54214
10264	669996
10269	4122
10276	1197
10282	57242
10286	645475
10287	151829
10293	112055
10296	908010
10298	13347
10301	717736
10307	427668
10317	1082550
10323	59823
10324	6181
10326	464530
10331	88049
10334	1243351
10335	767483
10336	858325
10341	6935
10346	692855
10347	700664
10350	7742
10356	3663
10357	1418656
10363	284
10376	15513
10405	35947
10406	929087
10410	383715
10436	128452
10444	7107
10447	551872
10472	1505536
10493	1438649
10540	142550
10607	185486
10610	1978488
10664	2710
10672	134522
10685	1256
10694	117738
10704	2469
10713	840764
10716	564923
10727	789955
10739	904478
10743	20086
10765	623868
10766	184404
10772	111725
10774	291884
10806	2912
10814	1296
10819	191305
10833	220529
10838	3514
10844	138316
10845	4277
10872	2573
10875	464530
10879	464530
10891	1136
10900	337023
10905	68172
10907	16915
10908	755185
10912	15574
10914	12591
10918	380699
10925	16941
10928	1168937
10936	677818
10938	2732
10967	20868
10980	683269
10983	401201
10997	307763
10998	1969423
11004	57446
11009	299430
11011	51028
11021	2787
11032	1367194
11040	464008
11053	440363
11056	55382
11060	362410
11061	149779
11077	94533
11089	439561
11093	1288904
11099	59779
11101	1069849
11102	507483
11106	95047
11109	131031
11114	398736
11120	119418
11123	200416
11124	529070
11125	4556
11131	535870
11140	229019
11141	52674
11163	256664
11167	11881
11172	22990
11173	572670
11193	7044
11195	961654
11209	2651
11214	545
11216	323401
11225	150608
11226	255961
11228	498113
11233	1283607
11236	622024
11237	579475
11242	84996
11243	1753
11249	4016
11250	1140
11257	1732179
11263	630511
11289	6995
11291	81728
11297	249526
11299	591044
11300	48345
11311	177973
11320	149852
11322	32815
11329	251843
11331	128855
11335	103921
11343	1499798
11344	154170
11349	330647
