geneid	dist
559	4815
564	6076
572	8018
575	8320
582	7396
590	6725
594	5870
605	5161
614	3569
619	1734
624	1140
992	17608483
1024	30415041
1430	15711389
2011	32815344
2735	15627942
2929	7690542
3124	8033559
3150	7957445
3361	15627942
3855	17260779
3911	6948478
4202	17260779
4208	11019936
4275	17260779
4374	17260779
4378	3067861
4448	5685734
4475	16068107
4513	17260779
4544	1838
4546	1838
4676	165668
4716	18564245
4717	17260779
4734	5685734
4747	17260779
4750	5685734
4772	11019936
4827	5685734
4828	11019936
4841	11019936
4857	6492274
4901	6924523
4919	7797611
5051	11548958
5059	22031252
5085	27083174
5143	6216930
5151	11748218
5161	17382292
5198	7534605
5216	5114708
5242	16466648
5249	16207275
5264	4359730
5266	4596512
5291	2565942
5302	10741496
5305	2541203
5362	11581724
5401	4136355
5468	9461275
5470	28316523
5471	7011938
5493	7957445
5505	1509
5506	16349343
5522	10034
5546	2388264
5562	11682907
5599	7048480
5608	25221472
5654	23920191
5659	7842197
5670	24616430
5691	18249990
5697	11775777
5705	1219
5748	11387124
5780	8502193
5785	1782289
5798	2421615
5820	11816999
5837	6820831
5854	6395705
5877	4059226
5879	2776
5898	18220290
5912	19685621
5913	7076955
5914	51250
5916	20331558
5921	1281721
5930	24903389
5939	1578193
5951	3371
5993	16914305
6004	2370975
6012	18111738
6050	7296978
6054	6880254
6061	14337592
6095	2547798
6101	18364011
6106	153059
6117	1049
6120	1293184
6121	15673911
6138	5190901
6144	2001320
6160	5157314
6179	340970
6195	10176171
6198	8260986
6201	4136355
6204	2445714
6206	25132172
6215	8344497
6228	160970
6230	13870684
6267	20605710
6276	1622972
6278	11282666
6291	14131250
6304	2495197
6308	5162888
6316	2114240
6329	18111738
6338	6997536
6351	12102689
6360	12564094
6390	153179
6391	1229
6401	18371273
6416	7227701
6429	30192602
6441	92636
6469	236
6470	18371273
6474	21019581
6504	3357459
6514	1096
6538	13988382
6552	897653
6567	3233494
6597	9910638
6653	35540026
6658	13680141
6663	3462246
6667	12523671
6676	17684236
6689	582779
6709	5609060
6722	5560
6723	6310533
6731	6265213
6745	30913856
6760	2029821
6771	3110312
6784	6898686
6795	9461275
6808	11658105
6809	9189
6816	18602065
6821	3987127
6834	22441973
6861	18371273
6890	28443170
6905	20068243
6918	233792
6923	623417
6931	12257300
6939	2486117
6946	2056732
6952	1905063
6953	23708698
6974	6300508
6986	14189911
6987	98787
6988	4192951
6990	2626
6997	37089488
7005	30199406
7007	8322316
7013	4549825
7014	8751017
7045	5366342
7052	12432841
7058	18552544
7066	11581724
7084	18502341
7098	27860902
7108	14363425
7119	1023797
7144	1606220
7158	13446892
7166	10666
7176	12275343
7179	20819534
7183	23192326
7190	19778613
7222	3058558
7237	40066896
7258	16601397
7264	13187211
7299	4353466
7301	611
7306	21591324
7327	18494619
7338	1270889
7346	14190352
7385	11083730
7411	16840631
7425	1967287
7426	16448112
7428	21157969
7430	17704509
7443	182310
7455	8449142
7462	2878649
7498	3222
7499	20625631
7503	8879693
7525	11767065
7536	2868
7540	33311891
7546	5785787
7580	9600669
7583	7749573
7590	20058514
7595	21265745
7611	12322498
7637	14314049
7648	28789027
7649	8751017
7659	17727518
7688	13591098
7692	6970878
7701	21129782
7709	7773008
7714	17722022
7719	7781834
7733	22497226
7739	13201356
7741	5890520
7761	8331237
7773	4906967
7776	23647134
7777	11829190
7791	17016112
7808	18371273
7816	19325305
7829	6245906
7832	287015
7854	34957637
7882	576
7900	16522924
7918	11718059
7919	16953130
7923	11482316
7926	19323105
7933	2217765
7937	11663348
7938	16035377
7987	15542932
7993	23280995
8006	24585949
8007	11083730
8013	16603393
8018	6175791
8019	12069972
8031	2381197
8042	10785183
8061	8881972
8071	18638575
