geneid	dist
977	154
978	154
992	4735204
1024	14528830
1430	2716805
1711	154
1712	154
2011	6737234
2932	3535030
3124	550027
3152	3535030
3855	6828901
3911	4862970
4202	6828901
4208	7694029
4275	6828901
4374	6828901
4378	8188429
4416	9926429
4448	97757
4475	7114868
4513	6828901
4536	67727
4540	67727
4542	67727
4544	3708200
4545	67727
4546	3708200
4559	67727
4580	67727
4595	67727
4623	67727
4676	9894535
4716	7220376
4717	6828901
4734	97757
4747	6828901
4750	97757
4772	7694029
4827	97757
4828	7694029
4841	7694029
4857	13246755
4867	9926429
4901	1746664
4919	1617316
5051	16635819
5059	2690703
5085	8673428
5098	3664886
5143	9862230
5151	16558800
5161	2528921
5198	12775424
5216	5709153
5249	3520739
5264	1160379
5266	5146917
5291	4894673
5302	2052537
5305	4140305
5357	831239
5362	16633359
5401	14169792
5467	10664393
5470	4074125
5471	6135217
5505	6735461
5506	3592742
5522	3082962
5546	3513393
5562	16581428
5599	9343372
5608	3099684
5654	6812790
5670	3308006
5691	4715252
5697	16535784
5705	828155
5740	3602005
5748	8373678
5780	6500160
5785	3787604
5798	3521032
5820	5756895
5837	344026
5854	11072907
5877	9069766
5879	4508298
5898	988920
5912	5618236
5913	9497960
5914	3065905
5916	4785741
5921	3198501
5930	14648451
5939	4423897
5951	1640388
5993	6719970
6004	3254798
6012	994664
6054	5961299
6061	7336872
6095	3589110
6101	1438701
6106	5233658
6117	1420677
6120	7799140
6121	5751143
6160	5639243
6179	5256986
6195	8189269
6198	4350478
6201	14169792
6204	8362952
6206	3080707
6228	5237112
6230	6456031
6267	4718799
6276	6244873
6278	6490247
6291	5815182
6304	8474352
6308	5624593
6316	4096849
6329	994664
6338	3535589
6351	6699546
6360	5600745
6391	1996062
6401	4512992
6416	2012170
6429	3682226
6441	6643387
6469	4267009
6470	4512992
6474	5859975
6504	3759746
6514	19396
6538	6503811
6552	5568419
6567	3537549
6597	7630905
6653	4885962
6658	7219761
6663	5306982
6676	2764483
6689	5225076
6709	4863092
6722	5264334
6723	9079581
6731	9566667
6745	4789490
6760	4469771
6771	3541954
6784	5984451
6808	16606022
6809	4579754
6816	10435775
6820	1676221
6821	4527197
6847	58567
6861	4512992
6890	4041253
6916	7343786
6917	8264703
6918	2041878
6920	6864483
6923	5201367
6931	783542
6939	7169901
6946	5022922
6952	7870763
6953	10156789
6974	8009545
6986	5935524
6987	903242
6988	4034444
6997	7385979
7005	2568895
7007	411477
7013	2498590
7014	2167826
7045	4277896
7052	840856
7058	1550401
7066	16633359
7084	269114
7098	14829836
7108	6952131
7119	8372516
7144	4430861
7158	8425261
7166	3985607
7176	792507
7179	5911512
7183	981558
7190	2371080
7222	6047431
7237	2881083
7258	7299419
7264	6609218
7299	5324517
7301	4068813
7306	15327169
7312	58567
7327	4555410
7333	1876533
7338	8438682
7346	8831770
7353	1517800
7385	4217043
7411	4263709
7425	4456809
7426	1590169
7428	417260
7430	1434203
7443	935539
7455	4085629
7462	8518628
7469	1876533
7496	13239091
7498	1727137
7499	7178952
7503	5589587
7511	4555733
7525	16542413
7536	2423514
7540	5904575
7546	6974183
7562	58567
7580	2725145
7583	351123
7590	6122356
7595	8841270
7606	1876533
7611	812904
7637	5885062
7648	10897158
7649	2167826
7659	7334941
7688	6931932
7692	3847009
7701	419594
7709	355904
7714	5748411
7719	368382
7733	7541374
7738	3826027
7739	6592234
7741	10062104
7761	4248525
7773	5132121
7776	1858887
7777	16520638
7791	10528194
7808	4512992
7816	951182
7829	8026112
7832	3337683
7834	4366690
7854	7569634
7863	1876533
7882	8248257
7887	7172322
7900	1286849
7918	1570306
7919	2793886
7923	2586408
7926	949518
7933	5352601
7937	4653406
7938	5545815
7987	7198713
7993	10316388
8006	3304628
8007	4217043
8013	4356064
8018	3380709
8019	7815298
8031	5623121
8042	7744225
8044	4632692
8061	7141785
8071	1334231
8083	1865300
8096	3964557
8097	199790
8101	5989732
8117	8429977
8120	15648257
8148	10344347
8153	14408377
8160	9349092
8163	10329675
8170	12612043
8172	8075099
8189	1270715
8203	4158080
8207	7567516
8219	4456889
8236	4828675
8244	13894754
8245	1558382
8247	2804581
8255	1878130
8286	8165178
8297	5245149
8312	5811685
8321	6940473
8336	4074125
8378	2833992
8394	3273078
8397	3394575
8413	1141951
8430	4970971
8431	7593658
8438	1434203
8447	12087481
8450	4900193
8455	11788940
8459	7209153
8462	5745435
8463	5835038
8488	1030821
8500	2117425
8505	5050932
8510	5517906
8526	3992250
8553	6042327
8561	11767734
8563	6317606
8571	279515
8582	3798996
8589	5066775
8600	6045813
8603	1876533
8623	7648410
8635	1175392
8636	6080190
8641	1947896
8656	7611333
8657	2485920
8662	6205480
8663	1031857
8665	1703186
8674	1822637
8675	6546892
8677	5049185
8691	946920
8698	8088755
8702	1030821
8709	7572091
8710	2390002
8723	5666783
8730	496114
8742	1525469
8745	7660122
8746	2179603
8751	3903643
8759	12112303
8761	5499690
8768	6729573
8771	14282037
8782	7114868
8789	8460409
8792	7777413
8795	4787485
8796	6471204
8805	6211475
8827	496114
8832	932415
8833	8152521
8850	6212253
8862	496114
8885	1915904
8898	1921431
8919	5146456
8921	8116141
8928	2724765
8950	11754375
8964	6637353
8965	12094462
8974	5181858
8986	13182694
8999	7190144
9007	8144612
9012	963447
9019	6771779
9020	344130
9026	6922536
9027	799820
9040	6494560
9043	484449
9045	983517
9047	6666054
9052	356050
9077	7781994
9079	7958074
9094	4356087
9095	4460125
9106	10062104
9108	6834600
9119	7654365
9155	11570080
9173	13317299
9178	10594033
9209	8765134
9214	4854644
9226	6901443
9228	6282089
9232	11305476
9238	8985647
9248	4396118
9260	11225923
9265	6141176
9267	8300225
9269	17062362
9270	30051
9287	2367677
9288	12926181
9291	6305916
9299	58567
9317	6863014
9327	12920758
9338	5062644
9341	4397821
9345	8831787
9348	2419777
9366	154
9367	8889952
9376	154
9379	154
9383	7403534
9390	154
9408	6931145
9410	7508541
9414	6328697
9442	7994474
9448	4512136
9449	4006527
9458	9260136
9466	9822119
9474	279515
9485	7662530
9495	3990889
9504	4356103
9519	6512908
9534	2025428
9539	1512048
9541	6195876
9554	4217043
9577	3360787
9578	8078375
9583	11088583
9587	1943654
9602	1642585
9603	6220091
9617	13665492
9621	5514406
9625	3324777
9636	1788618
9638	1933323
9648	7308186
9652	10662587
9655	3312890
9657	5055951
9661	5510774
9668	6763837
9670	5976434
9678	5510774
9683	6424983
9692	13170825
9716	6995666
9718	1732840
9721	1629835
9722	1611683
9729	5073093
9732	10167093
9735	11881089
9741	5549701
9744	14702254
9748	1708485
9752	4044251
9758	3872782
9759	6619212
9770	6644953
9772	929719
9779	8833631
9790	103406
9793	9551587
9794	5498578
9798	5146456
9806	2786565
9808	4518449
9810	3689399
9811	7670941
9813	7750340
9827	5146456
9846	6178534
9851	11312383
9864	848953
9870	8962192
9878	204174
9880	3352079
9922	780867
9930	5291521
9944	2487488
9950	11790812
9951	9423863
9954	2154410
9960	1424495
9961	1564811
9986	9484288
9990	191919
10007	1720161
10008	1948134
10018	4948513
10021	16246225
10026	900023
10033	2487488
10037	1076778
10052	11462483
10054	1940230
10061	1415782
10071	6613080
10075	10655679
10076	1725136
10079	5486442
10086	1420677
10088	2158074
10091	6909373
10107	4870758
10112	6169470
10121	1644135
10122	4527197
10123	4431578
10127	6926615
10128	5835038
10134	5751587
10145	344026
10167	5937486
10171	6952131
10172	8403546
10187	2001206
10195	11545615
10203	8347989
10205	2260285
10209	5316482
10212	1910527
10213	8898365
10228	14699809
10233	4422519
10236	3959516
10245	5577264
10254	1134878
10262	4400483
10264	4015884
10269	12914784
10276	6061088
10282	532080
10286	5148520
10287	4361916
10293	4339166
10296	10658023
10298	1380900
10301	3166957
10307	11219144
10317	7342726
10322	8126087
10323	1109843
10324	538003
10326	1246044
10331	4375565
10334	5710866
10335	7268913
10336	11363764
10341	11598255
10346	7828815
10347	404112
10350	2252205
10356	2900983
10357	5814532
10363	10133841
10376	4854644
10405	11603331
10406	7393768
10410	1629168
10436	4878588
10444	1416668
10447	6702884
10472	17067321
10493	5555437
10540	8763217
10561	8849694
10566	3380561
10567	13254485
10607	8241798
10610	2078847
10637	14581523
10664	11614786
10665	6500510
10672	10650512
10685	4863092
10694	1262526
10704	5146456
10713	6119326
10716	9582973
10727	1522109
10739	6081280
10743	3141153
10765	14797432
10766	6052147
10771	2530412
10774	8324290
10814	5337608
10819	2821776
10833	2521335
10838	2250061
10845	13228402
10872	14854635
10875	1246044
10879	1246044
10882	13587841
10891	1360179
10900	6442244
10905	814706
10907	2476784
10908	7610088
10912	12888853
10914	5693806
10918	2602444
10925	16447172
10928	10378634
10936	385184
10938	2266300
10967	1272479
10969	10388622
10980	8774927
10983	4617949
10997	4362606
10998	16635819
11004	1580421
11009	4994382
11011	5520619
11021	1235407
11031	2921709
11032	8412495
11036	7885740
11038	3748563
11040	12615718
11053	5201081
11056	142043
11060	2901829
11061	651420
11067	1507859
11075	1775553
11077	6704353
11089	5210387
11093	3148810
11099	2320784
11101	1877804
11102	7742906
11106	11160379
11109	6704231
11114	6368724
11120	4930424
11123	1015485
11124	8299549
11125	5071707
11129	7385192
11131	7777413
11140	7926505
11141	805875
11163	3964734
11167	3763085
11169	16023212
11172	5506357
11173	3733578
11177	4597985
11188	87110
11193	6656075
11195	4689044
11197	10074526
11209	1609109
11214	2842078
11216	5719073
11225	2108619
11226	1156492
11228	8878599
11233	3153189
11236	16484402
11237	3739003
11242	5177212
11243	6927369
11249	6066020
11250	9008652
11257	17196315
11263	14792857
11289	4397984
11291	3942098
11297	3936181
11299	16468939
11300	4191608
11311	328026
11320	5274336
11322	15697028
11326	2352733
11329	7225086
11331	8682863
11335	7690948
11343	5584314
11344	3903842
11349	7647827
11351	5146456
11363	9313740
11366	5573637
11371	3054198
11378	5244440
11379	8691025
11386	9043112
11396	3958393
11399	5714555
11405	1246044
11410	3773888
11414	13234090
11415	3800440
11417	758773
11425	4353948
11430	474304
11433	5375063
11436	1669401
11445	5134851
11458	5263469
11459	6741254
11463	4354378
11464	13822653
11465	5784617
11481	10317884
11482	5181480
11484	5187125
11486	8527328
11487	6713543
11490	7592829
11491	8505036
11493	3776886
11497	439534
11498	4544455
11499	2081623
11500	5346932
11504	2258705
11505	1632362
11507	8428005
11511	10115783
11513	6642314
11516	8696840
11518	4170543
11524	7971220
11528	8705339
11541	1546399
11542	1550183
11543	2234398
11544	8746418
11546	8548482
11547	1672394
11548	3061562
11561	141497
11564	208381
11574	5488596
11575	16491762
11585	1293406
11590	6278865
11591	1971738
11592	1246044
11617	2217122
11619	8842401
11620	53456
11625	8280940
11627	6352419
11628	1240670
11636	14747466
11638	1587170
11643	7222675
11646	9780738
11647	148326
11650	9780738
11652	487610
11653	4027526
11657	9780738
11659	6806892
11670	5617216
11679	7839827
11680	10338992
11685	3938562
11694	843656
11695	5185572
11696	107143
11704	1909071
11713	13221242
11724	1246044
11726	6501887
11727	1534860
11728	3210445
11734	2884115
11739	2017069
11741	16484402
11743	8466362
11744	1850520
11765	5642570
11775	8708273
11780	8743816
11783	3837294
11786	7678973
11787	9865466
11789	4893359
11800	311761
11801	8675919
11805	5314518
11807	5127044
11810	3146651
11812	12661589
11821	3110580
11826	5314518
11827	1457956
11829	8492163
11831	9569558
11832	2477461
11842	1969764
